기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20240101,0,11350625,30210.7611,1004.1929,585.549,909.1325,757.4603,736.4792,767.7968,1069.466,1018.4882,1419.4385,1311.7374,1107.5056,949.9336,653.5867,1470.3301,836.1139,561.1088,883.9283,869.202,846.6259,966.5135,1080.1928,1155.2841,1544.8187,1471.6835,1378.3298,1143.2882,956.368,2756.2044
20240101,0,11170640,8341.1447,262.772,91.8981,166.261,242.4335,247.2667,338.0016,428.6806,347.2816,361.0405,325.1474,335.7338,288.4929,233.3532,345.0943,147.6173,67.0989,115.3493,270.6296,263.7219,299.9951,451.8701,296.303,360.3208,307.4899,305.0846,377.3366,267.3173,797.5528
20240101,0,11500560,19481.1326,660.0556,324.5895,552.7686,455.6542,728.9242,716.3631,819.9242,693.7449,886.9006,699.3607,667.9407,531.3675,457.1168,881.161,589.6317,304.1174,447.6228,546.6421,752.7984,794.1991,773.9508,819.5258,855.9065,642.7728,882.4404,815.7157,677.7008,1502.2359
20240101,0,11215850,25220.4608,666.4599,310.3769,563.8765,862.1131,1391.3181,1394.6292,1171.035,957.4191,1050.6482,895.3165,914.3372,728.2835,445.0864,763.5736,520.3646,277.1614,544.9116,1070.0883,1547.9013,1239.2699,1252.498,1001.7644,1038.6954,988.5649,973.3422,797.3854,549.138,1304.9029
20240101,0,11530770,17942.4536,494.1571,205.5467,382.7772,536.6759,810.524,835.7027,958.0163,685.2562,750.9715,637.3562,654.4287,501.414,414.5843,831.1913,660.0805,258.6553,307.5692,619.7862,929.675,876.853,890.5953,646.5742,619.5289,625.9318,674.3045,617.6156,487.0509,1029.6339
20240101,0,11500590,29954.8304,1241.6899,552.3901,475.0284,660.308,1198.2024,1409.7752,1620.8523,1301.1634,1298.3599,973.6026,908.4501,699.8776,572.8716,1230.6427,1033.8242,399.971,570.6456,1002.9923,1513.6395,1390.7936,1315.4196,1226.5344,1335.542,1047.7001,1077.4243,913.3527,766.3696,2217.409
20240101,0,11530780,52405.3439,3329.3747,1312.2448,1049.9532,958.7206,1350.9405,1490.8873,2305.8283,2410.1341,2407.2579,1818.1572,1684.5446,1400.1569,976.1964,2227.5825,3361.3075,1324.9403,1173.0129,1243.22,1448.6914,1775.4014,2576.8486,2213.0486,2204.8232,1946.9524,1847.777,1747.0725,1275.9481,3544.321
20240101,0,11290660,38986.5536,2738.7051,1388.6055,1328.995,878.6538,765.1328,617.988,1235.1504,1579.199,2251.0733,1665.0558,1234.4111,721.9659,606.9894,1149.3961,2580.0287,1385.2873,1300.1104,1092.7862,705.2791,871.8988,1541.8509,1992.6364,2453.0011,1620.6306,1133.981,1065.2652,777.9154,2304.5628
20240101,0,11260520,22286.6997,843.0878,419.6949,435.2999,462.8505,709.3759,753.2756,874.4953,939.8828,1116.7147,884.523,1132.0172,855.6004,498.3483,1061.0079,692.6243,380.6612,455.6823,603.0888,746.1525,813.4713,855.0509,717.897,966.3485,850.8859,1062.9268,854.3819,656.279,1645.0731
